Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Monday May 20,boxscore,NYM,,WSN,W,5,3,,21-25,3,6.5,Gagnon,Corbin,Diaz,3:12,N,22335,+,
47,Tuesday May 21,boxscore,NYM,,WSN,W-wo,6,5,,22-25,3,5.5,Diaz,Rainey,,3:05,N,24631,++,
48,Wednesday May 22,boxscore,NYM,,WSN,W,6,1,,23-25,3,4.5,Gagnon,Barraclough,,2:59,N,27188,+++,
49,Thursday May 23,boxscore,NYM,,WSN,W,6,4,,24-25,3,4.5,Gsellman,Suero,Diaz,2:53,D,29962,++++,
50,Friday May 24,boxscore,NYM,,DET,L,8,9,,24-26,3,5.5,Farmer,Gagnon,Greene,3:12,N,27082,-,
51,Saturday May 25,boxscore,NYM,,DET,W-wo,5,4,13,25-26,3,5.5,Santiago,Farmer,,4:11,D,40691,+,
52,Sunday May 26,boxscore,NYM,,DET,W,4,3,,26-26,3,4.5,Wheeler,Turnbull,Diaz,2:33,D,31414,++,
53,Monday May 27,boxscore,NYM,@,LAD,L,5,9,,26-27,3,5.0,Kershaw,Bashlor,Jansen,3:42,N,47816,-,
54,Tuesday May 28,boxscore,NYM,@,LAD,W,7,3,,27-27,3,5.0,Matz,Garcia,,3:22,N,45713,+,
55,Wednesday May 29,boxscore,NYM,@,LAD,L-wo,8,9,,27-28,3,6.0,Alexander,Diaz,,3:31,N,40559,-,
56,Thursday May 30,boxscore,NYM,@,LAD,L,0,2,,27-29,3,6.0,Ryu,Vargas,Jansen,2:47,N,47848,--,
57,Friday May 31,boxscore,NYM,@,ARI,W,5,4,,28-29,3,5.0,Wheeler,Andriese,Gsellman,3:14,N,24664,+,
58,Saturday Jun 1,boxscore,NYM,@,ARI,L-wo,5,6,11,28-30,3,5.0,Hirano,Bashlor,,3:42,N,34888,-,
59,Sunday Jun 2,boxscore,NYM,@,ARI,L,1,7,,28-31,3,5.0,Kelly,Matz,,2:37,D,26945,--,
60,Tuesday Jun 4,boxscore,NYM,,SFG,L,3,9,10,28-32,3,5.5,Melancon,Gsellman,,3:35,N,24878,---,
61,Wednesday Jun 5,boxscore,NYM,,SFG,W,7,0,,29-32,3,5.5,Vargas,Beede,,2:41,N,23357,+,
62,Thursday Jun 6,boxscore,NYM,,SFG,W,7,3,,30-32,3,5.0,Lugo,Melancon,,2:43,D,28857,++,
63,Friday Jun 7,boxscore,NYM,,COL,L,1,5,,30-33,3,6.0,Senzatela,deGrom,,3:03,N,27520,-,
64,Saturday Jun 8,boxscore,NYM,,COL,W,5,3,,31-33,3,6.0,Matz,Gray,Diaz,2:59,N,29077,+,
65,Sunday Jun 9,boxscore,NYM,,COL,W,6,1,,32-33,3,5.0,Syndergaard,Hoffman,,2:32,D,29531,++,
66,Tuesday Jun 11 (1),boxscore,NYM,@,NYY,L,5,12,,32-34,3,5.0,Tanaka,Wheeler,,3:09,D,41538,-,
67,Tuesday Jun 11 (2),boxscore,NYM,@,NYY,W,10,4,,33-34,3,5.0,Vargas,Paxton,,3:20,N,44698,+,
68,Thursday Jun 13,boxscore,NYM,,STL,L,4,5,10,33-35,3,6.5,Martinez,Diaz,Hicks,3:02,N,31862,-,
69,Friday Jun 14,boxscore,NYM,,STL,L,5,9,,33-36,3,7.5,Gant,Familia,,3:05,N,28560,--,
70,Saturday Jun 15,boxscore,NYM,,STL,W,8,7,,34-36,3,6.5,Syndergaard,Wacha,Diaz,3:33,N,32589,+,
71,Sunday Jun 16,boxscore,NYM,,STL,L,3,4,,34-37,3,7.5,Miller,Flexen,Martinez,3:09,D,37054,-,
72,Monday Jun 17,boxscore,NYM,@,ATL,L,3,12,,34-38,3,8.5,Soroka,Wheeler,,3:05,N,24660,--,
73,Tuesday Jun 18,boxscore,NYM,@,ATL,W,10,2,,35-38,3,7.5,deGrom,Teheran,,3:04,N,24971,+,
74,Wednesday Jun 19,boxscore,NYM,@,ATL,L,2,7,,35-39,4,8.5,Fried,Matz,,3:03,N,37104,-,
75,Thursday Jun 20,boxscore,NYM,@,CHC,L,4,7,,35-40,4,9.0,Alzolay,Lockett,Cishek,2:59,N,38956,--,
76,Friday Jun 21,boxscore,NYM,@,CHC,W,5,4,,36-40,4,8.0,Pounders,Brach,Diaz,3:11,D,41078,+,
77,Saturday Jun 22,boxscore,NYM,@,CHC,W,10,2,,37-40,4,8.0,Wheeler,Quintana,,3:01,D,41106,++,
78,Sunday Jun 23,boxscore,NYM,@,CHC,L,3,5,,37-41,4,9.0,Cishek,Lugo,Strop,2:49,D,39077,-,
79,Monday Jun 24,boxscore,NYM,@,PHI,L,7,13,,37-42,4,9.0,Eflin,Matz,,3:18,N,29117,--,
80,Tuesday Jun 25,boxscore,NYM,@,PHI,L,5,7,,37-43,4,10.0,Arrieta,Font,Neris,3:07,N,28125,---,
81,Wednesday Jun 26,boxscore,NYM,@,PHI,L-wo,4,5,10,37-44,4,11.0,Garcia,Nogosek,,3:21,N,29822,----,
82,Thursday Jun 27,boxscore,NYM,@,PHI,L-wo,3,6,,37-45,4,11.0,Hammer,Diaz,,3:24,D,39161,-----,
83,Friday Jun 28,boxscore,NYM,,ATL,L,2,6,,37-46,4,12.0,Soroka,deGrom,,2:55,N,36421,------,
84,Saturday Jun 29,boxscore,NYM,,ATL,L,4,5,,37-47,4,13.0,Newcomb,Lugo,Jackson,3:39,D,40809,-------,
85,Sunday Jun 30,boxscore,NYM,,ATL,W,8,5,,38-47,4,12.0,Font,Newcomb,Diaz,3:27,N,31743,+,
86,Tuesday Jul 2,boxscore,NYM,,NYY,W,4,2,,39-47,4,11.0,Lugo,Ottavino,Diaz,3:11,N,42150,++,
87,Wednesday Jul 3,boxscore,NYM,,NYY,L,1,5,,39-48,4,12.0,German,Vargas,,3:17,N,43323,-,
88,Friday Jul 5,boxscore,NYM,,PHI,L,2,7,,39-49,4,13.5,Morgan,Diaz,,3:15,N,32546,--,
89,Saturday Jul 6,boxscore,NYM,,PHI,W,6,5,,40-49,4,12.5,Syndergaard,Arrieta,Diaz,3:22,N,31350,+,
90,Sunday Jul 7,boxscore,NYM,,PHI,L,3,8,,40-50,4,13.5,Nola,Wheeler,,3:20,D,34247,-,
91,Friday Jul 12,boxscore,NYM,@,MIA,L,4,8,,40-51,4,14.5,Smith,Vargas,,2:57,N,11856,--,
92,Saturday Jul 13,boxscore,NYM,@,MIA,W,4,2,,41-51,4,14.5,Syndergaard,Anderson,Diaz,3:05,N,12963,+,
93,Sunday Jul 14,boxscore,NYM,@,MIA,W,6,2,,42-51,4,14.5,deGrom,Alcantara,,3:16,D,14780,++,
94,Tuesday Jul 16,boxscore,NYM,@,MIN,W,3,2,,43-51,4,14.0,Avilan,Pineda,Diaz,3:13,N,28712,+++,
95,Wednesday Jul 17,boxscore,NYM,@,MIN,W,14,4,,44-51,4,13.0,Vargas,May,,3:16,D,35124,++++,
96,Thursday Jul 18,boxscore,NYM,@,SFG,L-wo,2,3,16,44-52,4,13.0,Jerez,Mazza,,4:47,N,36862,-,
97,Friday Jul 19,boxscore,NYM,@,SFG,L-wo,0,1,10,44-53,4,14.0,Dyson,Rhame,,2:51,N,32861,--,
98,Saturday Jul 20,boxscore,NYM,@,SFG,W,11,4,,45-53,4,13.0,Lockett,Samardzija,,2:50,D,33860,+,
99,Sunday Jul 21,boxscore,NYM,@,SFG,L-wo,2,3,12,45-54,4,14.0,Gott,Gsellman,,3:28,D,35406,-,
100,Tuesday Jul 23,boxscore,NYM,,SDP,W,5,2,,46-54,4,13.0,Vargas,Paddack,Diaz,3:02,N,33199,+,
101,Wednesday Jul 24,boxscore,NYM,,SDP,L,2,7,,46-55,4,13.0,Strahm,Syndergaard,,3:20,N,32252,-,
102,Thursday Jul 25,boxscore,NYM,,SDP,W,4,0,,47-55,4,12.5,deGrom,Lauer,,2:49,D,37822,+,
103,Friday Jul 26,boxscore,NYM,,PIT,W,6,3,,48-55,4,12.5,Wheeler,Agrazal,Lugo,2:21,N,33776,++,
104,Saturday Jul 27,boxscore,NYM,,PIT,W,3,0,,49-55,4,12.5,Matz,Williams,,2:10,N,39944,+++,
