"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2019-05-29","83.3","-2.3799","6.6433","Jose Ramirez",608070,605155,"double","hit_into_play_score",,,,,8,"Jose Ramirez hits a ground-rule double (9) on a line drive to right field.   Francisco Lindor scores.    Carlos Santana scores.  ","R","L","R","BOS","CLE","X","null","line_drive",0,0,2019,"1.0348","-1.3870","0.1655","1.8028",596019,467793,"null",2,6,"Top","215.06","77.48",,,543877,,"190530_001703","3.8088","-120.9254","-1.9306","8.8550","26.0027","-45.0289","3.3200","1.5700","353","107.5","21","81.1080","2930","5.1640",565053,605155,543877,656308,571788,646240,593428,643217,598265,605141,"55.3354","0.897","1.540","1.25",1,1,1,6,56,"1","Curveball",6,8,8,6,8,6,8,6,"Infield shift","Standard"
"FC","2019-05-30","88.0","2.5337","6.5303","Jose Ramirez",608070,605240,"double","hit_into_play_no_out",,,,,8,"Jose Ramirez doubles (10) on a sharp line drive to left fielder Charlie Tilson.  ","R","R","L","CWS","CLE","X",7,"line_drive",3,2,2019,"-0.1233","0.2088","0.0351","1.7288","null","null","null",0,9,"Top","44.44","122.78",,,543510,,"190531_030537","-5.6777","-127.8586","-5.8910","-0.3054","22.5582","-29.1617","3.0336","1.5850","205","108.2","10","86.4580","2639","5.0690",567291,605240,543510,547989,570560,660162,641313,605508,544725,641477,"55.4302","0.887","0.887","1.25",1,1,1,4,72,"6","Cutter",10,3,3,10,3,10,3,10,"Standard","Standard"
"FF","2019-05-08","96.2","-2.3930","5.9239","Jose Ramirez",608070,516969,"home_run","hit_into_play_score",,,,,2,"Jose Ramirez homers (3) on a fly ball to right center field.    Francisco Lindor scores.  ","R","L","R","CLE","CWS","X","null","fly_ball",3,1,2019,"-0.6147","1.2014","0.1554","2.9095","null",596019,"null",2,9,"Bot","201.14","40.77",,,543510,,"190509_010051","8.1090","-139.8624","-5.1098","-9.7722","29.8875","-15.5820","3.3300","1.5700","412","104.2","28","96.0700","2186","6.1460",565332,516969,543510,547989,570560,660162,641313,605508,544725,641477,"54.3539","0.887","1.755","2.00",1,0,3,6,75,"5","4-Seam Fastball",3,3,3,3,3,3,3,3,"Infield shift","Strategic"
"SL","2019-05-05","87.3","2.5071","6.3678","Jose Ramirez",608070,573127,"single","hit_into_play_no_out",,,,,2,"Jose Ramirez singles on a line drive to center fielder Braden Bishop.  ","R","R","L","CLE","SEA","X",8,"line_drive",3,2,2019,"-0.9875","0.7036","-0.1458","3.0731","null","null","null",1,9,"Bot","106.46","86.65",,,553882,,"190505_200016","-4.3505","-126.9516","-3.1395","-9.5517","28.3316","-24.2223","3.3000","1.5400","272","87.3","17","86.6700","2524","6.1290",565329,573127,553882,596129,543829,664238,542921,457803,623323,571745,"54.3703","0.884","0.825","0.90",1,1,0,4,72,"7","Slider",0,10,0,10,10,0,0,10,"Standard","Standard"
"CH","2019-05-28","86.3","3.3436","5.7462","Jose Ramirez",608070,456034,"single","hit_into_play_no_out",,,,,14,"Jose Ramirez singles on a sharp line drive to left fielder Brock Holt.  ","R","R","L","BOS","CLE","X",7,"line_drive",2,2,2019,"1.4695","0.4177","0.9285","2.1573","null","null","null",1,2,"Top","72.93","82.54",,,543877,,"190528_232944","-8.4802","-125.2450","-3.0555","16.7147","25.2859","-27.5526","3.2548","1.5643","242","100.6","11","84.8170","1680","5.4720",565052,456034,543877,456665,656308,646240,593428,571788,598265,605141,"55.0272","0.882","0.849","0.90",1,1,0,4,8,"6","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2019-05-14","90.9","1.8892","6.2805","Jose Ramirez",608070,592612,"home_run","hit_into_play_score",,,,,8,"Jose Ramirez homers (4) on a fly ball to left field.  ","R","R","L","CWS","CLE","X","null","fly_ball",2,2,2019,"-0.2447","0.4921","0.0758","1.9799","null","null","null",0,6,"Top","27.17","60.61",,,543510,,"190514_195924","-3.9800","-132.0650","-5.7310","-1.8086","31.9501","-25.4967","3.3200","1.5500","399","104.5","31","89.2990","2222","5.6970",567283,592612,543510,475174,570560,602922,641313,547170,605508,641477,"54.8021","0.879","1.779","2.00",1,0,3,6,43,"5","Cutter",0,7,7,0,7,0,7,0,"Standard","Standard"
"FF","2019-06-21","93.8","2.1498","5.6571","Jose Ramirez",608070,571510,"single","hit_into_play_no_out",,,,,5,"Jose Ramirez singles on a line drive to right fielder Nicholas Castellanos.  ","R","R","L","CLE","DET","X",9,"line_drive",1,2,2019,"0.7505","1.4567","-0.1508","2.2845","null","null","null",0,6,"Bot","151.46","117.01",,,435064,,"190622_011132","-7.5765","-136.3220","-6.2245","10.8671","26.5176","-12.9262","3.3318","1.5700","207","73.5","17","94.0060","2560","6.2230",565353,571510,435064,641525,493596,605612,592348,621514,592444,592206,"54.2766","0.866","0.814","0.90",1,1,0,4,53,"4","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Strategic"
"SI","2019-06-18","92.9","-2.8643","5.7489","Jose Ramirez",608070,592716,"home_run","hit_into_play_score",,,,,2,"Jose Ramirez homers (5) on a fly ball to right field.    Oscar Mercado scores.    Jason Kipnis scores.  ","R","L","R","TEX","CLE","X","null","fly_ball",0,1,2019,"-1.1159","1.1908","-0.2723","3.1683","null",640458,543401,1,3,"Top","241.19","55.41",,,425772,,"190619_005725","9.0029","-134.9726","-3.3842","-15.4414","28.5834","-17.2368","3.3395","1.7437","431","105.5","33","92.5030","2102","6.0780",566800,592716,425772,608597,596059,452678,462101,641432,542454,425783,"54.4212","0.850","1.690","2.00",1,0,3,6,21,"2","Sinker",0,1,1,0,1,0,1,0,"Standard","Standard"
"FT","2019-06-24","94.3","-1.5347","6.1157","Jose Ramirez",608070,641745,"double","hit_into_play_no_out",,,,,7,"Jose Ramirez doubles (13) on a line drive to right fielder Whit Merrifield.   Jason Kipnis to 3rd.  ","R","L","R","CLE","KC","X",9,"line_drive",2,1,2019,"-0.8424","0.8392","-0.4652","1.4873","null","null",543401,0,2,"Bot","197.07","123.38",,,455117,,"190624_232853","4.6841","-137.1831","-8.2766","-11.7251","28.3773","-19.9379","3.3100","1.5700","192","85.3","13","94.9560","2079","6.5400",565356,641745,455117,596144,670032,641531,600858,460086,571740,593160,"53.9591","0.847","0.778","1.25",1,1,1,4,11,"4","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2019-06-15","95.5","2.8520","5.7181","Jose Ramirez",608070,642397,"field_out","hit_into_play",,,,,6,"Jose Ramirez flies out sharply to center fielder Harold Castro.  ","R","R","L","DET","CLE","X",8,"fly_ball",1,2,2019,"1.0029","0.9877","0.5758","2.3833","null",640458,656669,2,3,"Top","113.95","26.55",,,543308,,"190615_225144","-8.3572","-139.0022","-5.5107","14.9702","27.9978","-18.1521","3.3200","1.5600","407","103.1","25","96.7490","2304","6.7610",565545,642397,543308,641525,500135,608475,592348,621514,605612,592206,"53.7380","0.847","1.552","0.00",1,0,0,6,20,"4","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2019-05-18","82.1","2.7160","5.0489","Jose Ramirez",608070,643316,"field_out","hit_into_play",,,,,5,"Jose Ramirez lines out to right fielder Joey Rickard.  ","R","R","L","CLE","BAL","X",9,"line_drive",3,2,2019,"-1.2174","-0.1789","-0.2029","2.3455","null","null","null",0,6,"Bot","172.86","101.86",,,600474,,"190518_215104","-4.2576","-119.5048","0.7730","-10.7424","23.4141","-34.2543","3.3100","1.5600","257","92.6","15","81.8990","2601","6.1740",565336,643316,600474,448801,542340,547004,621006,596105,592859,572073,"54.3253","0.834","0.803","0.00",1,0,0,4,43,"6","Slider",3,1,3,1,1,3,3,1,"Standard","Standard"
"SL","2019-06-23","85.2","1.7448","6.2317","Jose Ramirez",608070,596057,"single","hit_into_play_no_out",,,,,5,"Jose Ramirez singles on a line drive to right fielder Nicholas Castellanos.  ","R","R","L","CLE","DET","X",9,"line_drive",0,0,2019,"-0.4750","0.4483","-0.0596","2.0440","null","null","null",1,2,"Bot","167.20","126.22",,,435064,,"190623_174048","-3.2577","-123.9751","-4.4152","-4.2257","20.0468","-27.2010","3.1800","1.4900","202","75.0","16","84.0120","2581","5.0870",565355,596057,435064,641525,493596,605612,592348,621514,592444,592206,"55.4123","0.829","0.772","0.90",1,1,0,4,14,"1","Slider",0,1,0,1,1,0,0,1,"Standard","Standard"
